#Exported for mctoolsr
"#ASV_ID"	"1"	"10"	"100"	"101"	"102"	"103"	"104"	"105"	"106"	"107"	"108"	"109"	"11"	"110"	"111"	"112"	"12"	"13"	"14"	"15"	"16"	"17"	"18"	"19"	"2"	"20"	"21"	"22"	"23"	"24"	"25"	"26"	"27"	"28"	"29"	"3"	"30"	"4"	"5"	"53"	"54"	"55"	"56"	"57"	"58"	"59"	"6"	"60"	"61"	"62"	"63"	"64"	"65"	"66"	"67"	"68"	"69"	"7"	"70"	"71"	"72"	"73"	"74"	"75"	"76"	"77"	"78"	"79"	"8"	"80"	"81"	"82"	"83"	"84"	"85"	"86"	"87"	"88"	"89"	"9"	"90"	"91"	"92"	"93"	"94"	"95"	"96"	"97"	"98"	"99"	"NTC1"	"NTC2"	"taxonomy"
"ASV_1"	4	1529	391	138	584	940	917	191	37	909	146	456	9	1999	209	1569	116	41	47	176	6	59	8	128	5425	30	62	17	677	206	271	10	98	280	29	1739	34	883	512	9	19405	15	12222	9888	5047	7357	196	12434	6341	11860	11600	7231	7796	8217	9387	8145	10280	981	9845	11314	15985	8864	8778	9074	17270	13487	19053	20028	142	17434	22959	18876	553	3276	4229	4361	3260	609	1620	16	1079	1665	644	126	2314	10801	15890	4317	2	328	0	5	"Bacteria;Cyanobacteria;Cyanobacteriia;Chloroplast;NA;NA;ASV_1"
"ASV_10"	330	114	229	363	457	598	508	962	446	152	87	60	2	107	63	44	65	24	195	21	126	336	66	106	0	106	381	139	357	204	260	628	394	266	364	78	411	38	153	224	9	0	10	57	81	7	654	7	107	0	2	18	9	16	11	8	10	32	23	64	22	44	0	6	2	1	38	0	51	41	78	2	60	98	15	21	14	253	164	1	20	202	152	112	1202	484	0	226	215	281	0	0	"Bacteria;Firmicutes;Bacilli;Bacillales;Planococcaceae;Paenisporosarcina;ASV_10"
"ASV_100"	8	4	50	85	174	31	88	312	55	54	0	45	11	42	17	11	14	9	0	5	4	0	1	80	0	26	81	49	54	80	77	171	142	5	75	8	39	1	57	107	5	0	0	4	44	0	15	2	56	0	7	12	8	2	13	7	0	41	10	3	2	19	3	21	0	18	0	0	4	13	17	0	609	1	12	11	2	7	7	0	19	0	129	0	38	0	0	0	19	27	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Steroidobacterales;Steroidobacteraceae;Steroidobacter;ASV_100"
"ASV_1000"	0	0	0	0	0	0	0	0	19	0	0	0	0	2	1	0	0	0	0	0	0	7	0	10	0	5	43	14	11	3	1	58	3	4	16	0	0	0	10	0	0	0	1	0	40	0	0	0	0	0	0	1	0	4	0	0	0	14	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Gammaproteobacteria;Burkholderiales;TRA3-20;NA;ASV_1000"
"ASV_1001"	0	0	0	0	0	0	0	0	19	0	0	11	0	7	4	9	54	20	0	4	1	12	0	6	0	19	0	0	12	6	0	12	1	0	5	0	0	5	0	0	3	0	1	0	0	1	0	6	0	0	0	11	1	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	8	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;ASV_1001"
"ASV_1002"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	3	0	10	0	0	0	0	0	0	0	0	0	0	6	0	53	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	10	0	51	0	0	2	0	0	0	111	0	0	2	1	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	"Bacteria;Chloroflexi;Chloroflexia;Thermomicrobiales;JG30-KF-CM45;NA;ASV_1002"
"ASV_1003"	0	0	0	0	0	0	0	0	0	0	0	17	0	10	4	33	74	2	14	0	0	0	0	8	0	1	0	10	5	0	0	0	0	0	4	0	5	0	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	16	0	2	12	0	0	0	0	0	0	3	0	0	0	0	29	0	0	0	0	14	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Bacteroidota;Bacteroidia;Chitinophagales;Chitinophagaceae;Flavisolibacter;ASV_1003"
"ASV_1004"	0	0	1	21	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	4	0	2	0	0	0	3	0	3	0	0	0	0	0	0	27	1	0	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Myxococcota;Myxococcia;Myxococcales;Anaeromyxobacteraceae;Anaeromyxobacter;ASV_1004"
"ASV_1005"	0	0	0	0	3	0	0	8	0	0	0	10	0	21	15	93	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	4	0	6	3	0	0	0	0	7	27	4	0	11	0	0	2	0	0	0	0	0	8	22	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Chloroflexi;Anaerolineae;SBR1031;A4b;NA;ASV_1005"
"ASV_1006"	0	0	55	0	1	0	21	31	22	0	0	3	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	3	9	0	0	0	0	21	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	1	0	12	0	0	0	0	0	0	0	0	0	0	9	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	"Bacteria;Proteobacteria;Alphaproteobacteria;Rickettsiales;Mitochondria;NA;ASV_1006"
